sim_time_s,n_search_points,downsample_time_ms,pca_time_ms
0.29485607147216797,100,3.1183629907900468,28.26024900423363
0.38123321533203125,100,1.5383779973490164,17.35516700136941
0.5099525451660156,100,1.5195650048553944,36.67887099436484
0.6072657108306885,100,1.7231270030606538,18.519145000027493
0.6969892978668213,100,1.7004900000756606,19.05090900254436
0.7944400310516357,100,1.672206009970978,22.230236005270854
1.012779951095581,100,3.7992619909346104,30.57604499917943
1.0945162773132324,100,1.6542769881198183,21.121889003552496
1.220201015472412,100,1.9446119986241683,34.04912500991486
1.3128325939178467,100,2.0614779932657257,37.83353100880049
1.4003727436065674,100,2.38207500660792,20.468314003665
1.6109137535095215,100,1.743686996633187,36.05404899280984
1.7020959854125977,100,1.725712005281821,18.895718007115647
1.796968698501587,100,1.8134769925381988,21.86459201038815
1.8997399806976318,100,1.5962460020091385,18.69120700575877
1.9977688789367676,100,1.8603249918669462,20.88640299916733
2.1517961025238037,100,3.919197988579981,56.10184199758805
2.333186149597168,100,4.4464940001489595,31.7711399984546
2.494309186935425,100,3.761353000300005,75.78075400670059
2.6204988956451416,100,2.9740350000793114,28.178894994198345
2.728508949279785,100,2.7387699956307188,30.34594000200741
2.8408334255218506,100,3.247522996389307,33.802158999606036
3.086456537246704,100,4.0066689980449155,62.555939992307685
3.2465403079986572,100,4.102247999981046,35.53192400431726
3.406062364578247,100,3.636255001765676,68.45403500483371
3.5678114891052246,100,4.427955005667172,33.59345000353642
3.7750072479248047,100,3.636203007772565,29.339878004975617
3.9286043643951416,100,3.3950529905268922,64.52838600671384
4.101755380630493,100,3.2308930094586685,57.19137599226087
4.380658864974976,100,4.080143000464886,30.88909399230033
4.578139543533325,100,3.7790630012750626,94.64610798750073
4.837475061416626,100,5.8843709994107485,67.90492500294931
5.019612073898315,100,3.2027370034484193,70.91721000324469
5.193274974822998,100,3.254020994063467,28.545744004077278
5.44017219543457,100,4.358509002486244,65.14026300283149
5.760473966598511,100,3.3187570079462603,70.53803400776815
6.0660881996154785,100,5.534825002541766,65.44891399971675
6.2874531745910645,100,6.212104999576695,86.59681299468502
6.541707515716553,100,3.94648099609185,26.84162900550291
6.6902711391448975,100,3.233584007830359,68.63810500362888
7.002772808074951,100,5.838580007548444,72.84783700015396
7.111492872238159,100,2.6654669927665964,26.282492995960638
7.22535252571106,100,3.4354770032223314,28.136872002505697
7.4374213218688965,100,4.631743999198079,31.559449998894706
7.551737308502197,100,5.302446996211074,45.28656399634201
7.648305892944336,100,2.7544909971766174,29.981927989865653
7.766475677490234,100,5.761458000051789,57.29951699322555
7.852236032485962,100,2.8138359921285883,32.26253201137297
